Motilal Oswal Focused 25 Fund (MOF25) - Direct Plan Dividend Option,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,SBI FOCUSED EQUITY FUND - DIRECT PLAN - DIVIDEND,SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH,SBI FOCUSED EQUITY FUND - REGULAR  PLAN - DIVIDEND,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,Baroda Banking and Financial Services Fund - Plan A - Dividend,Baroda Banking and Financial Services Fund - Plan A - Growth Option,Sundaram Select Focus - Direct Plan - Dividend Option,Sundaram Select Focus - Direct Plan - Growth Option,Sundaram Select Focus-Dividend,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Dividend,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Dividend,Aditya Birla Sun Life Banking and Financial Services Fund - Regular Plan - Growth,HDFC Focused 30 Fund - DIVIDEND,HDFC Focused 30 Fund - GROWTH,HDFC Focused 30 Fund -Direct Plan - Dividend Option,ICICI Prudential Focused Equity Fund - Direct Plan - Dividend,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,ICICI Prudential Focused Equity Fund - Dividend
14.3195,13.9685,15.4539,15.0708,29.5628,91.1435,22.099,89.7796,16.43,15.29,16.43,13.6003,125.8161,13.4759,14.22,16.78,14.06,16.6,21.928,59.02,22.248,23.27,23.27,19.21
14.4389,14.0844,15.5827,15.1958,29.7853,91.8296,22.2649,90.4538,16.66,15.5,16.66,13.8054,127.758,13.6789,14.43,17.04,14.27,16.85,22.113,59.517,22.436,23.47,23.46,19.37
14.4327,14.0766,15.576,15.1875,29.7578,91.7449,22.2432,90.3654,16.62,15.46,16.62,13.773,127.4584,13.6462,14.41,17,14.24,16.82,22.082,59.435,22.406,23.44,23.43,19.35
14.063,13.7155,15.177,14.7978,29.1101,89.7478,21.7585,88.3963,16.13,15,16.13,13.355,123.5901,13.2318,13.97,16.5,13.82,16.32,21.327,57.403,21.64,22.82,22.82,18.84
14.1286,13.779,15.2479,14.8663,28.9658,89.3031,21.6503,87.9565,16.02,14.91,16.02,13.3178,123.2459,13.1948,13.97,16.49,13.81,16.31,21.38,57.547,21.695,22.68,22.67,18.72
14.3706,14.0144,15.5091,15.1204,29.5424,91.0806,22.0809,89.7056,16.36,15.21,16.36,13.5623,125.5085,13.4368,14.23,16.8,14.07,16.62,21.7,58.407,22.019,23.02,23.01,19
14.4275,14.0693,15.5704,15.1795,29.6133,91.2992,22.1335,89.9192,16.32,15.18,16.32,13.6628,126.4381,13.5361,14.22,16.79,14.06,16.6,21.805,58.69,22.127,23.24,23.24,19.18
14.5645,14.2012,15.7183,15.3219,29.6884,91.5307,22.1884,90.1422,16.45,15.3,16.45,13.7695,127.4254,13.6412,14.27,16.85,14.11,16.66,21.855,58.825,22.179,23.39,23.39,19.31
14.5702,14.2062,15.7245,15.3273,29.6803,91.506,22.182,90.1162,16.4,15.25,16.4,13.7177,126.9462,13.5897,14.27,16.85,14.11,16.66,21.846,58.8,22.17,23.34,23.33,19.26
14.6228,14.2569,15.7812,15.382,29.8345,91.9814,22.2968,90.5827,16.34,15.2,16.34,13.6934,126.7213,13.5655,14.23,16.79,14.06,16.61,21.714,58.443,22.036,23.3,23.3,19.23
14.9335,14.5593,16.1165,15.7082,30.1712,93.0192,22.548,91.6031,16.85,15.67,16.85,14.0291,129.8278,13.8978,14.67,17.31,14.5,17.12,22.194,59.738,22.524,23.81,23.81,19.65
14.9955,14.6191,16.1834,15.7728,30.2579,93.2868,22.6124,91.8649,16.83,15.65,16.83,14.0572,130.0885,13.9255,14.74,17.4,14.57,17.21,22.109,59.508,22.438,23.86,23.86,19.69
15.0524,14.6728,16.2449,15.8307,30.3511,93.5741,22.6808,92.1428,16.95,15.77,16.95,14.1267,130.732,13.9937,14.87,17.56,14.7,17.36,22.201,59.755,22.532,24.1,24.09,19.88
15.1536,14.7709,16.3541,15.9366,30.4854,93.9881,22.7807,92.5487,17.24,16.03,17.24,14.3184,132.5055,14.1833,15.11,17.83,14.93,17.63,22.386,60.254,22.72,24.39,24.38,20.12
15.2554,14.8695,16.4639,16.043,30.5048,94.0478,22.7948,92.6058,17.28,16.07,17.28,14.3672,132.9575,14.2315,15.08,17.8,14.9,17.6,22.579,60.772,22.916,24.52,24.51,20.23
15.3226,14.9345,16.5365,16.113,30.5362,94.1448,22.8178,92.6996,17.32,16.11,17.32,14.4419,133.649,14.3053,15.12,17.85,14.94,17.65,22.638,60.931,22.976,24.6,24.6,20.3
15.41,15.019,16.6308,16.2042,30.4781,93.9655,22.7739,92.5212,17.46,16.24,17.46,14.5507,134.6555,14.4128,15.18,17.92,15,17.72,22.786,61.329,23.127,24.77,24.77,20.44
15.6654,15.2655,16.9064,16.4702,30.7983,94.9526,23.0114,93.4859,17.8,16.56,17.8,14.6921,135.964,14.552,15.48,18.28,15.3,18.07,22.921,61.693,23.266,24.87,24.86,20.52
