,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-04-27,EQ,667.9,668.2,657.2,664.7,659.55,659.75,661.6,987.85,395.1,3197568,2115515512.55,60707,ADANIPORTS
0,2023-04-27,EQ,2915.5,2920.0,2893.85,2910.0,2903.25,2899.95,2900.6,3582.9,2560.0,599461,1738798605.7,40939,ASIANPAINT
0,2023-04-27,EQ,888.0,890.0,877.5,887.65,880.5,881.4,882.38,970.0,618.25,15992383,14111354670.75,211246,AXISBANK
0,2023-04-27,EQ,4300.0,4422.55,4294.0,4299.0,4412.0,4408.2,4366.33,4422.55,3460.0,667011,2912391384.35,50051,BAJAJ-AUTO
0,2023-04-27,EQ,6075.0,6254.45,6066.0,6055.95,6200.0,6200.05,6193.58,7778.0,5220.0,2827136,17510091279.65,222661,BAJFINANCE
0,2023-04-27,EQ,1352.5,1374.0,1340.15,1334.7,1359.0,1360.0,1361.58,17845.0,1215.0,3982526,5422520618.0,116567,BAJAJFINSV
0,2023-04-27,EQ,772.0,789.2,771.35,773.45,785.9,786.5,781.48,860.55,628.75,4129769,3227329295.6,68976,BHARTIARTL
0,2023-04-27,EQ,350.0,356.5,348.85,349.0,355.0,355.65,353.42,385.95,288.05,3635526,1284883384.6,60151,BPCL
0,2023-04-27,EQ,4407.0,4429.35,4397.0,4405.0,4416.0,4415.85,4416.04,4669.2,3132.05,179769,793867307.65,24766,BRITANNIA
0,2023-04-27,EQ,911.2,917.3,903.0,911.1,917.2,913.95,909.16,1185.25,852.0,2457652,2234402342.15,52685,CIPLA
0,2023-04-27,EQ,229.75,232.5,229.15,229.75,232.1,231.75,231.24,263.4,164.65,3349374,774494671.45,37785,COALINDIA
0,2023-04-27,EQ,3220.0,3247.85,3202.0,3220.0,3233.0,3238.45,3223.32,4640.8,2730.0,200579,646530117.15,17040,DIVISLAB
0,2023-04-27,EQ,4845.0,4939.0,4818.1,4845.1,4907.0,4918.55,4889.46,4940.0,3789.85,219656,1073999596.95,27560,DRREDDY
0,2023-04-27,EQ,3248.3,3270.4,3236.25,3248.35,3270.0,3263.55,3258.16,3889.65,2310.0,464406,1513109392.9,26823,EICHERMOT
0,2023-04-27,EQ,1695.0,1705.65,1682.15,1699.15,1699.9,1701.4,1690.94,1839.5,1276.6,529288,894994997.65,26273,GRASIM
0,2023-04-27,EQ,1065.55,1075.0,1061.0,1065.55,1072.0,1071.25,1068.69,1156.65,877.35,1654910,1768581761.9,55958,HCLTECH
0,2023-04-27,EQ,2752.6,2781.0,2749.25,2761.45,2778.25,2772.9,2761.66,2827.95,2026.0,3347433,9244474067.8,120544,HDFC
0,2023-04-27,EQ,1670.5,1685.25,1665.85,1671.8,1680.0,1681.0,1673.65,1720.0,1271.6,23895196,39992303899.7,258905,HDFCBANK
0,2023-04-27,EQ,530.1,530.1,516.05,531.6,519.75,517.85,518.74,620.6,457.8,7978904,4138963231.55,134104,HDFCLIFE
0,2023-04-27,EQ,2500.0,2526.85,2497.05,2505.15,2513.95,2508.65,2513.79,2938.6,2246.0,685268,1722617561.95,32113,HEROMOTOCO
0,2023-04-27,EQ,425.0,431.45,422.05,424.8,430.75,430.8,428.63,508.5,308.95,3271257,1402171064.4,44758,HINDALCO
0,2023-04-27,EQ,2513.95,2522.0,2457.0,2510.8,2469.0,2468.95,2475.66,2741.6,2047.0,2743893,6792941414.45,166075,HINDUNILVR
0,2023-04-27,EQ,909.5,919.9,908.55,914.95,917.6,918.35,915.76,958.2,669.95,25835108,23658735545.7,201239,ICICIBANK
0,2023-04-27,EQ,1140.0,1148.45,1130.0,1137.8,1142.85,1144.75,1142.83,1275.8,763.2,2990958,3418148241.05,79941,INDUSINDBK
0,2023-04-27,EQ,1230.0,1247.8,1225.4,1227.55,1247.0,1246.25,1237.22,1672.6,1185.3,8020704,9923408235.75,206555,INFY
0,2023-04-27,EQ,78.55,80.75,78.55,78.45,80.5,80.45,79.99,132.95,65.2,17036886,1362754684.7,51616,IOC
0,2023-04-27,EQ,412.2,417.4,411.0,412.25,416.0,416.0,415.6,417.4,249.15,12614263,5242441962.8,127117,ITC
0,2023-04-27,EQ,723.0,734.75,717.6,723.45,732.0,732.1,729.61,783.5,520.05,1247848,910442617.5,28291,JSWSTEEL
