ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JSWSTEEL,KOTAKBANK,LT,MM,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SHREECEM,SUNPHARMA,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,WIPRO
381.65,26.7,604.75,50.75,509.1,44.35,399.25,756.9,1457.35,342.55,1508.25,48.85,438.3,1554.45,293.5,170.0,1207.6,867.45,2307.55,74.75,28.95,15625.2,270.85,708.5,390.15,229.35,635.95,453.35,164.3,2494.65,75.55,213.45,100.6,251.7,243.65,64.75,1835.05,216.75,152.45,987.95,554.25,155.7,260.2,553.8,2724.2
385.55,26.85,593.15,48.1,554.65,41.7,370.5,754.55,1465.25,349.85,1628.95,51.4,437.15,1678.85,304.05,173.8,1199.85,900.35,2281.05,73.05,30.25,16855.9,264.4,712.35,369.2,246.95,616.0,489.65,167.0,2498.95,75.2,206.55,95.45,271.85,259.1,59.85,1810.45,208.2,150.8,979.0,539.3,147.4,255.55,540.35,2942.15
383.0,26.3,608.15,44.6,640.95,41.25,359.95,735.3,1435.05,330.75,1568.05,55.55,439.6,1813.2,292.8,166.95,1143.8,972.35,2199.9,69.5,28.15,15507.45,261.3,726.2,378.85,228.4,668.3,514.85,173.35,2502.85,75.3,223.1,101.95,282.5,248.45,60.0,1746.9,213.25,156.55,962.65,528.1,138.4,270.7,538.85,2990.1
377.5,25.95,599.45,45.25,632.4,42.4,380.3,785.65,1355.85,326.05,1661.55,60.0,474.8,1958.3,296.45,168.3,1161.4,1048.45,2288.2,70.05,28.0,14266.85,260.1,784.3,368.05,225.9,656.4,524.55,177.95,2489.35,75.05,219.3,102.9,294.35,261.0,60.6,1745.2,222.1,168.25,986.75,538.45,149.5,262.25,515.1,2932.25
385.7,24.8,571.7,42.9,644.0,43.3,379.85,848.5,1247.55,322.8,1529.1,64.65,512.8,1801.65,286.55,168.35,1106.55,1094.95,2412.95,67.4,27.05,13125.5,264.45,847.05,362.15,208.85,671.7,496.4,176.2,2568.2,74.45,215.75,114.4,314.55,273.3,60.45,1605.6,239.9,171.95,988.1,541.85,146.35,266.1,482.95,2697.7
415.0,25.0,580.8,42.9,686.95,42.8,384.95,912.2,1205.9,328.55,1503.9,65.5,501.95,1774.5,287.2,165.9,1126.35,1022.9,2431.25,69.9,27.5,13757.3,251.35,914.85,362.5,192.15,695.15,497.2,177.1,2513.5,74.65,209.5,113.65,308.5,269.5,57.35,1531.85,258.85,182.25,987.9,543.95,144.9,266.2,461.45,2701.35
415.2,23.2,579.7,40.1,672.05,43.6,372.8,853.75,1114.25,320.15,1446.6,61.6,474.3,1851.15,283.85,163.4,1125.1,993.25,2485.8,69.35,26.35,12656.75,239.75,883.7,391.55,176.8,745.2,532.8,172.2,2536.15,73.65,195.1,115.15,288.5,247.95,54.1,1507.2,238.15,167.7,993.65,552.7,141.0,267.2,475.15,2485.45
417.65,24.0,552.1,39.0,598.95,44.65,378.0,882.7,1203.4,317.2,1490.9,63.95,458.45,1757.85,285.6,165.45,1174.95,971.35,2647.8,74.9,27.1,13077.55,258.95,888.35,373.65,162.7,730.5,490.25,167.4,2556.1,73.6,202.2,126.9,301.7,244.75,54.75,1417.0,240.25,165.3,997.85,541.25,147.9,262.2,480.15,2562.9
418.7,23.6,562.4,39.5,631.85,41.5,376.0,881.4,1297.05,318.05,1477.45,61.25,452.35,1781.35,283.85,165.1,1146.4,975.85,2786.65,79.35,26.7,12090.6,272.5,879.75,365.75,167.35,719.05,499.0,164.9,2542.5,73.65,198.85,136.8,311.85,244.5,52.95,1492.5,235.45,159.2,994.85,537.3,148.85,262.65,480.75,2480.25
410.0,23.25,568.8,39.9,630.9,42.5,374.4,869.65,1280.7,326.9,1473.5,62.35,434.95,1923.9,286.55,165.45,1190.3,944.1,2702.1,79.0,25.95,12176.4,277.05,887.55,371.9,159.85,729.6,519.0,167.25,2526.2,73.55,194.4,132.0,316.3,239.2,54.0,1578.35,239.05,158.7,995.6,534.8,144.5,265.3,471.95,2497.85
411.35,25.15,548.8,39.2,629.9,43.3,375.85,875.95,1270.05,333.55,1508.75,65.25,450.9,2077.85,302.2,178.7,1285.55,924.6,2598.25,85.35,28.05,11870.9,265.65,817.35,367.8,153.5,727.7,560.55,174.7,2529.0,74.45,195.0,131.55,308.75,235.9,55.5,1704.65,250.65,166.8,993.7,535.95,143.75,264.85,477.8,2697.7
