,Unnamed: 0,Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
1891,1891,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,16.78,16.44,16.78,2015-01-01
12657,1913,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,17.04,16.70,17.04,2015-01-02
24908,1910,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,17.00,16.66,17.00,2015-01-05
35739,1910,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,16.50,16.17,16.50,2015-01-06
46574,1910,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,16.49,16.16,16.49,2015-01-07
57417,1909,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,16.80,16.46,16.80,2015-01-08
68258,1908,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,16.79,16.45,16.79,2015-01-09
80521,1908,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,16.85,16.51,16.85,2015-01-12
91352,1908,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,16.85,16.51,16.85,2015-01-13
102178,1908,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,16.79,16.45,16.79,2015-01-14
113011,1904,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,17.31,16.96,17.31,2015-01-15
123847,1904,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,17.40,17.05,17.40,2015-01-16
136105,1891,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,17.56,17.21,17.56,2015-01-19
146930,1901,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,17.83,17.47,17.83,2015-01-20
157765,1901,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,17.80,17.44,17.80,2015-01-21
168606,1901,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,17.85,17.49,17.85,2015-01-22
179456,1901,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,17.92,17.56,17.92,2015-01-23
192233,1897,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,18.28,17.91,18.28,2015-01-27
203080,1893,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,18.25,17.88,18.25,2015-01-28
213880,1854,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,18.21,17.85,18.21,2015-01-29
224669,1842,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,17.84,17.48,17.84,2015-01-30
236855,1842,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,17.89,17.53,17.89,2015-02-02
247670,1842,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,17.59,17.24,17.59,2015-02-03
258500,1846,125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,INF209K014W1,,17.33,16.98,17.33,2015-02-04
