,Unnamed: 0,Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
1922,1922,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.43,16.27,16.43,2015-01-01
12688,1944,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.66,16.49,16.66,2015-01-02
24939,1941,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.62,16.45,16.62,2015-01-05
35770,1941,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.13,15.97,16.13,2015-01-06
46605,1941,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.02,15.86,16.02,2015-01-07
57448,1940,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.36,16.20,16.36,2015-01-08
68289,1939,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.32,16.16,16.32,2015-01-09
80552,1939,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.45,16.29,16.45,2015-01-12
91383,1939,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.40,16.24,16.40,2015-01-13
102209,1939,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.34,16.18,16.34,2015-01-14
113042,1935,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.85,16.68,16.85,2015-01-15
123878,1935,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.83,16.66,16.83,2015-01-16
136136,1922,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.95,16.78,16.95,2015-01-19
146961,1932,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,17.24,17.07,17.24,2015-01-20
157796,1932,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,17.28,17.11,17.28,2015-01-21
168637,1932,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,17.32,17.15,17.32,2015-01-22
179487,1932,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,17.46,17.29,17.46,2015-01-23
192264,1928,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,17.80,17.62,17.80,2015-01-27
203111,1924,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,17.75,17.57,17.75,2015-01-28
213911,1885,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,17.74,17.56,17.74,2015-01-29
224700,1873,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,17.29,17.12,17.29,2015-01-30
236886,1873,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,17.32,17.15,17.32,2015-02-02
247705,1877,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.97,16.80,16.97,2015-02-03
258535,1881,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.79,16.62,16.79,2015-02-04
269381,1882,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.72,16.55,16.72,2015-02-05
280235,1882,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.50,16.34,16.50,2015-02-06
292507,1882,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.18,16.02,16.18,2015-02-09
303377,1882,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.45,16.29,16.45,2015-02-10
314234,1882,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.62,16.45,16.62,2015-02-11
325078,1881,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.77,16.60,16.77,2015-02-12
335942,1882,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.97,16.80,16.97,2015-02-13
348220,1880,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.82,16.65,16.82,2015-02-16
359979,1882,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.91,16.74,16.91,2015-02-18
370013,1048,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.83,16.66,16.83,2015-02-19
373813,1871,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.76,16.59,16.76,2015-02-20
386075,1879,125114,Baroda Banking And Financial Services Fund - Plan A - Bonus Option,INF955L01DD1,,16.63,16.46,16.63,2015-02-23
