,Unnamed: 0,Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
1923,1923,117547,Baroda Banking and Financial Services Fund - Plan A - Dividend,INF955L01831,,15.29,15.14,15.29,2015-01-01
12689,1945,117547,Baroda Banking and Financial Services Fund - Plan A - Dividend,INF955L01831,,15.50,15.35,15.50,2015-01-02
24940,1942,117547,Baroda Banking and Financial Services Fund - Plan A - Dividend,INF955L01831,,15.46,15.31,15.46,2015-01-05
35771,1942,117547,Baroda Banking and Financial Services Fund - Plan A - Dividend,INF955L01831,,15.00,14.85,15.00,2015-01-06
46606,1942,117547,Baroda Banking and Financial Services Fund - Plan A - Dividend,INF955L01831,,14.91,14.76,14.91,2015-01-07
57449,1941,117547,Baroda Banking and Financial Services Fund - Plan A - Dividend,INF955L01831,,15.21,15.06,15.21,2015-01-08
68290,1940,117547,Baroda Banking and Financial Services Fund - Plan A - Dividend,INF955L01831,,15.18,15.03,15.18,2015-01-09
80553,1940,117547,Baroda Banking and Financial Services Fund - Plan A - Dividend,INF955L01831,,15.30,15.15,15.30,2015-01-12
91384,1940,117547,Baroda Banking and Financial Services Fund - Plan A - Dividend,INF955L01831,,15.25,15.10,15.25,2015-01-13
102210,1940,117547,Baroda Banking and Financial Services Fund - Plan A - Dividend,INF955L01831,,15.20,15.05,15.20,2015-01-14
113043,1936,117547,Baroda Banking and Financial Services Fund - Plan A - Dividend,INF955L01831,,15.67,15.51,15.67,2015-01-15
123879,1936,117547,Baroda Banking and Financial Services Fund - Plan A - Dividend,INF955L01831,,15.65,15.49,15.65,2015-01-16
136137,1923,117547,Baroda Banking and Financial Services Fund - Plan A - Dividend,INF955L01831,,15.77,15.61,15.77,2015-01-19
146962,1933,117547,Baroda Banking and Financial Services Fund - Plan A - Dividend,INF955L01831,,16.03,15.87,16.03,2015-01-20
157797,1933,117547,Baroda Banking and Financial Services Fund - Plan A - Dividend,INF955L01831,,16.07,15.91,16.07,2015-01-21
168638,1933,117547,Baroda Banking and Financial Services Fund - Plan A - Dividend,INF955L01831,,16.11,15.95,16.11,2015-01-22
179488,1933,117547,Baroda Banking and Financial Services Fund - Plan A - Dividend,INF955L01831,,16.24,16.08,16.24,2015-01-23
192265,1929,117547,Baroda Banking and Financial Services Fund - Plan A - Dividend,INF955L01831,,16.56,16.39,16.56,2015-01-27
203112,1925,117547,Baroda Banking and Financial Services Fund - Plan A - Dividend,INF955L01831,,16.51,16.34,16.51,2015-01-28
213912,1886,117547,Baroda Banking and Financial Services Fund - Plan A - Dividend,INF955L01831,,16.50,16.34,16.50,2015-01-29
224701,1874,117547,Baroda Banking and Financial Services Fund - Plan A - Dividend,INF955L01831,,16.09,15.93,16.09,2015-01-30
236887,1874,117547,Baroda Banking and Financial Services Fund - Plan A - Dividend,INF955L01831,,16.11,15.95,16.11,2015-02-02
