,Unnamed: 0,Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
1924,1924,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.43,16.27,16.43,2015-01-01
12690,1946,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.66,16.49,16.66,2015-01-02
24941,1943,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.62,16.45,16.62,2015-01-05
35772,1943,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.13,15.97,16.13,2015-01-06
46607,1943,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.02,15.86,16.02,2015-01-07
57450,1942,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.36,16.20,16.36,2015-01-08
68291,1941,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.32,16.16,16.32,2015-01-09
80554,1941,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.45,16.29,16.45,2015-01-12
91385,1941,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.40,16.24,16.40,2015-01-13
102211,1941,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.34,16.18,16.34,2015-01-14
113044,1937,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.85,16.68,16.85,2015-01-15
123880,1937,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.83,16.66,16.83,2015-01-16
136138,1924,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.95,16.78,16.95,2015-01-19
146963,1934,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,17.24,17.07,17.24,2015-01-20
157798,1934,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,17.28,17.11,17.28,2015-01-21
168639,1934,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,17.32,17.15,17.32,2015-01-22
179489,1934,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,17.46,17.29,17.46,2015-01-23
192266,1930,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,17.80,17.62,17.80,2015-01-27
203113,1926,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,17.75,17.57,17.75,2015-01-28
213913,1887,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,17.74,17.56,17.74,2015-01-29
224702,1875,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,17.29,17.12,17.29,2015-01-30
236888,1875,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,17.32,17.15,17.32,2015-02-02
247707,1879,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.97,16.80,16.97,2015-02-03
258537,1883,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.79,16.62,16.79,2015-02-04
269383,1884,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.72,16.55,16.72,2015-02-05
280237,1884,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.50,16.34,16.50,2015-02-06
292509,1884,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.18,16.02,16.18,2015-02-09
303379,1884,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.45,16.29,16.45,2015-02-10
314236,1884,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.62,16.45,16.62,2015-02-11
325080,1883,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.77,16.60,16.77,2015-02-12
335944,1884,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.97,16.80,16.97,2015-02-13
348222,1882,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.82,16.65,16.82,2015-02-16
359981,1884,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.91,16.74,16.91,2015-02-18
370015,1050,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.83,16.66,16.83,2015-02-19
373815,1873,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.76,16.59,16.76,2015-02-20
386077,1881,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.63,16.46,16.63,2015-02-23
396931,1878,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.61,16.44,16.61,2015-02-24
407766,1879,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.49,16.33,16.49,2015-02-25
418622,1881,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.31,16.15,16.31,2015-02-26
429482,1880,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.75,16.58,16.75,2015-02-27
441772,1881,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,17.53,17.35,17.53,2015-03-02
452633,1882,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,17.51,17.33,17.51,2015-03-03
463480,1881,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,17.22,17.05,17.22,2015-03-04
474323,1881,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,17.30,17.13,17.30,2015-03-05
487119,1885,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.83,16.66,16.83,2015-03-09
497959,1886,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.76,16.59,16.76,2015-03-10
508768,1886,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.73,16.56,16.73,2015-03-11
519597,1886,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.80,16.63,16.80,2015-03-12
530425,1885,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.51,16.34,16.51,2015-03-13
542683,1884,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.54,16.37,16.54,2015-03-16
553519,1886,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.72,16.55,16.72,2015-03-17
564336,1884,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.81,16.64,16.81,2015-03-18
575159,1886,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.52,16.35,16.52,2015-03-19
585985,1885,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.38,16.22,16.38,2015-03-20
598231,1876,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.25,16.09,16.25,2015-03-23
609072,1875,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.14,15.98,16.14,2015-03-24
619900,1875,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.09,15.93,16.09,2015-03-25
630743,1877,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,15.72,15.56,15.72,2015-03-26
641593,1876,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,15.89,15.73,15.89,2015-03-27
653871,1877,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.14,15.98,16.14,2015-03-30
664761,1877,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.02,15.86,16.02,2015-03-31
674739,945,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.36,16.20,16.36,2015-04-01
680735,1857,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.37,16.21,16.37,2015-04-06
691585,1864,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.27,16.11,16.27,2015-04-07
702366,1870,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.22,16.06,16.22,2015-04-08
713141,1870,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.58,16.41,16.58,2015-04-09
723919,1875,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.53,16.36,16.53,2015-04-10
736123,1875,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.51,16.34,16.51,2015-04-13
747812,1873,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.43,16.27,16.43,2015-04-15
758560,1874,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.36,16.20,16.36,2015-04-16
769305,1876,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.07,15.91,16.07,2015-04-17
781484,1876,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,15.83,15.67,15.83,2015-04-20
792211,1876,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,15.80,15.64,15.80,2015-04-21
802915,1875,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,15.90,15.74,15.90,2015-04-22
813635,1875,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,15.94,15.78,15.94,2015-04-23
824360,1875,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,15.72,15.56,15.72,2015-04-24
836527,1875,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,15.47,15.32,15.47,2015-04-27
847243,1874,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,15.82,15.66,15.82,2015-04-28
857956,1874,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,15.87,15.71,15.87,2015-04-29
868664,1874,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,15.88,15.72,15.88,2015-04-30
880173,1067,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.02,15.86,16.02,2015-05-04
884169,1874,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,15.98,15.82,15.98,2015-05-05
894857,1876,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,15.46,15.31,15.46,2015-05-06
905535,1875,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,15.12,14.97,15.12,2015-05-07
916217,1875,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,15.49,15.34,15.49,2015-05-08
928359,1875,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,15.80,15.64,15.80,2015-05-11
939050,1875,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,15.36,15.21,15.36,2015-05-12
949736,1876,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,15.73,15.57,15.73,2015-05-13
960405,1867,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,15.73,15.57,15.73,2015-05-14
971013,1876,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,15.86,15.70,15.86,2015-05-15
983123,1876,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,16.04,15.88,16.04,2015-05-18
993802,1876,117549,Baroda Banking and Financial Services Fund - Plan A - Growth Option,INF955L01856,,15.99,15.83,15.99,2015-05-19
