,Unnamed: 0,Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
1846,1846,118949,HDFC Focused 30 Fund -Direct Plan - Dividend Option,INF179K01VI1,INF179K01VJ9,22.248,21.581,22.248,2015-01-01
12612,1868,118949,HDFC Focused 30 Fund -Direct Plan - Dividend Option,INF179K01VI1,INF179K01VJ9,22.436,21.763,22.436,2015-01-02
24863,1865,118949,HDFC Focused 30 Fund -Direct Plan - Dividend Option,INF179K01VI1,INF179K01VJ9,22.406,21.734,22.406,2015-01-05
35694,1865,118949,HDFC Focused 30 Fund -Direct Plan - Dividend Option,INF179K01VI1,INF179K01VJ9,21.64,20.991,21.64,2015-01-06
46529,1865,118949,HDFC Focused 30 Fund -Direct Plan - Dividend Option,INF179K01VI1,INF179K01VJ9,21.695,21.044,21.695,2015-01-07
57372,1864,118949,HDFC Focused 30 Fund -Direct Plan - Dividend Option,INF179K01VI1,INF179K01VJ9,22.019,21.358,22.019,2015-01-08
68213,1863,118949,HDFC Focused 30 Fund -Direct Plan - Dividend Option,INF179K01VI1,INF179K01VJ9,22.127,21.463,22.127,2015-01-09
80476,1863,118949,HDFC Focused 30 Fund -Direct Plan - Dividend Option,INF179K01VI1,INF179K01VJ9,22.179,21.514,22.179,2015-01-12
91307,1863,118949,HDFC Focused 30 Fund -Direct Plan - Dividend Option,INF179K01VI1,INF179K01VJ9,22.170,21.505,22.170,2015-01-13
102133,1863,118949,HDFC Focused 30 Fund -Direct Plan - Dividend Option,INF179K01VI1,INF179K01VJ9,22.036,21.375,22.036,2015-01-14
112966,1859,118949,HDFC Focused 30 Fund -Direct Plan - Dividend Option,INF179K01VI1,INF179K01VJ9,22.524,21.848,22.524,2015-01-15
123802,1859,118949,HDFC Focused 30 Fund -Direct Plan - Dividend Option,INF179K01VI1,INF179K01VJ9,22.438,21.765,22.438,2015-01-16
136060,1846,118949,HDFC Focused 30 Fund -Direct Plan - Dividend Option,INF179K01VI1,INF179K01VJ9,22.532,21.856,22.532,2015-01-19
146885,1856,118949,HDFC Focused 30 Fund -Direct Plan - Dividend Option,INF179K01VI1,INF179K01VJ9,22.72,22.038,22.72,2015-01-20
157720,1856,118949,HDFC Focused 30 Fund -Direct Plan - Dividend Option,INF179K01VI1,INF179K01VJ9,22.916,22.229,22.916,2015-01-21
168561,1856,118949,HDFC Focused 30 Fund -Direct Plan - Dividend Option,INF179K01VI1,INF179K01VJ9,22.976,22.287,22.976,2015-01-22
179411,1856,118949,HDFC Focused 30 Fund -Direct Plan - Dividend Option,INF179K01VI1,INF179K01VJ9,23.127,22.433,23.127,2015-01-23
192188,1852,118949,HDFC Focused 30 Fund -Direct Plan - Dividend Option,INF179K01VI1,INF179K01VJ9,23.266,22.568,23.266,2015-01-27
203035,1848,118949,HDFC Focused 30 Fund -Direct Plan - Dividend Option,INF179K01VI1,INF179K01VJ9,23.351,22.65,23.351,2015-01-28
213835,1809,118949,HDFC Focused 30 Fund -Direct Plan - Dividend Option,INF179K01VI1,INF179K01VJ9,23.265,22.567,23.265,2015-01-29
224624,1797,118949,HDFC Focused 30 Fund -Direct Plan - Dividend Option,INF179K01VI1,INF179K01VJ9,22.85,22.165,22.85,2015-01-30
