,Unnamed: 0,Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
1844,1844,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,21.928,21.27,21.928,2015-01-01
12610,1866,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,22.113,21.45,22.113,2015-01-02
24861,1863,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,22.082,21.420,22.082,2015-01-05
35692,1863,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,21.327,20.687,21.327,2015-01-06
46527,1863,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,21.38,20.739,21.38,2015-01-07
57370,1862,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,21.7,21.049,21.7,2015-01-08
68211,1861,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,21.805,21.151,21.805,2015-01-09
80474,1861,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,21.855,21.199,21.855,2015-01-12
91305,1861,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,21.846,21.191,21.846,2015-01-13
102131,1861,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,21.714,21.063,21.714,2015-01-14
112964,1857,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,22.194,21.528,22.194,2015-01-15
123800,1857,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,22.109,21.446,22.109,2015-01-16
136058,1844,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,22.201,21.535,22.201,2015-01-19
146883,1854,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,22.386,21.714,22.386,2015-01-20
157718,1854,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,22.579,21.902,22.579,2015-01-21
168559,1854,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,22.638,21.959,22.638,2015-01-22
179409,1854,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,22.786,22.102,22.786,2015-01-23
192186,1850,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,22.921,22.233,22.921,2015-01-27
203033,1846,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,23.004,22.314,23.004,2015-01-28
213833,1807,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,22.92,22.232,22.92,2015-01-29
224622,1795,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,22.51,21.835,22.51,2015-01-30
236808,1795,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,22.473,21.799,22.473,2015-02-02
247623,1795,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,22.293,21.624,22.293,2015-02-03
258453,1799,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,22.175,21.510,22.175,2015-02-04
269299,1800,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,21.919,21.261,21.919,2015-02-05
280153,1800,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,21.719,21.067,21.719,2015-02-06
292425,1800,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,21.249,20.612,21.249,2015-02-09
303295,1800,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,21.459,20.815,21.459,2015-02-10
314152,1800,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,21.729,21.077,21.729,2015-02-11
324996,1799,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,21.916,21.259,21.916,2015-02-12
335860,1800,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,22.205,21.539,22.205,2015-02-13
348138,1798,102761,HDFC Focused 30 Fund - DIVIDEND,INF179K01558,INF179K01566,22.198,21.532,22.198,2015-02-16
