,Unnamed: 0,Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
1845,1845,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,59.02,57.249,59.02,2015-01-01
12611,1867,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,59.517,57.731,59.517,2015-01-02
24862,1864,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,59.435,57.652,59.435,2015-01-05
35693,1864,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,57.403,55.681,57.403,2015-01-06
46528,1864,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,57.547,55.821,57.547,2015-01-07
57371,1863,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,58.407,56.655,58.407,2015-01-08
68212,1862,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,58.69,56.929,58.69,2015-01-09
80475,1862,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,58.825,57.060,58.825,2015-01-12
91306,1862,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,58.800,57.036,58.800,2015-01-13
102132,1862,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,58.443,56.690,58.443,2015-01-14
112965,1858,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,59.738,57.946,59.738,2015-01-15
123801,1858,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,59.508,57.723,59.508,2015-01-16
136059,1845,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,59.755,57.962,59.755,2015-01-19
146884,1855,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,60.254,58.446,60.254,2015-01-20
157719,1855,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,60.772,58.949,60.772,2015-01-21
168560,1855,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,60.931,59.103,60.931,2015-01-22
179410,1855,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,61.329,59.489,61.329,2015-01-23
192187,1851,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,61.693,59.842,61.693,2015-01-27
203034,1847,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,61.917,60.059,61.917,2015-01-28
213834,1808,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,61.69,59.839,61.69,2015-01-29
224623,1796,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,60.588,58.77,60.588,2015-01-30
236809,1796,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,60.488,58.673,60.488,2015-02-02
247624,1796,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,60.002,58.202,60.002,2015-02-03
258454,1800,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,59.685,57.894,59.685,2015-02-04
269300,1801,102760,HDFC Focused 30 Fund - GROWTH,INF179K01574,,58.996,57.226,58.996,2015-02-05
