,Unnamed: 0,Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
1849,1849,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,23.27,23.04,23.27,2015-01-01
12615,1871,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,23.46,23.23,23.46,2015-01-02
24866,1868,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,23.43,23.20,23.43,2015-01-05
35697,1868,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,22.82,22.59,22.82,2015-01-06
46532,1868,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,22.67,22.44,22.67,2015-01-07
57375,1867,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,23.01,22.78,23.01,2015-01-08
68216,1866,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,23.24,23.01,23.24,2015-01-09
80479,1866,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,23.39,23.16,23.39,2015-01-12
91310,1866,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,23.33,23.10,23.33,2015-01-13
102136,1866,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,23.30,23.07,23.30,2015-01-14
112969,1862,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,23.81,23.57,23.81,2015-01-15
123805,1862,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,23.86,23.62,23.86,2015-01-16
136063,1849,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,24.09,23.85,24.09,2015-01-19
146888,1859,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,24.38,24.14,24.38,2015-01-20
157723,1859,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,24.51,24.26,24.51,2015-01-21
168564,1859,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,24.6,24.35,24.6,2015-01-22
179414,1859,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,24.77,24.52,24.77,2015-01-23
192191,1855,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,24.86,24.61,24.86,2015-01-27
203038,1851,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,24.85,24.60,24.85,2015-01-28
213838,1812,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,24.95,24.70,24.95,2015-01-29
224627,1800,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,24.60,24.35,24.60,2015-01-30
236813,1800,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,24.67,24.42,24.67,2015-02-02
247628,1800,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,24.30,24.06,24.30,2015-02-03
258458,1804,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,24.1,23.86,24.1,2015-02-04
269304,1805,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,24.04,23.80,24.04,2015-02-05
280158,1805,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,23.87,23.63,23.87,2015-02-06
292430,1805,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,23.59,23.35,23.59,2015-02-09
303300,1805,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,23.73,23.49,23.73,2015-02-10
314157,1805,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,23.96,23.72,23.96,2015-02-11
325001,1804,120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,INF109K018N2,,24.31,24.07,24.31,2015-02-12
