,Unnamed: 0,Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
1850,1850,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.21,19.02,19.21,2015-01-01
12616,1872,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.37,19.18,19.37,2015-01-02
24867,1869,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.35,19.16,19.35,2015-01-05
35698,1869,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,18.84,18.65,18.84,2015-01-06
46533,1869,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,18.72,18.53,18.72,2015-01-07
57376,1868,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.00,18.81,19.00,2015-01-08
68217,1867,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.18,18.99,19.18,2015-01-09
80480,1867,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.31,19.12,19.31,2015-01-12
91311,1867,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.26,19.07,19.26,2015-01-13
102137,1867,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.23,19.04,19.23,2015-01-14
112970,1863,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.65,19.45,19.65,2015-01-15
123806,1863,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.69,19.49,19.69,2015-01-16
136064,1850,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.88,19.68,19.88,2015-01-19
146889,1860,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.12,19.92,20.12,2015-01-20
157724,1860,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.23,20.03,20.23,2015-01-21
168565,1860,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.3,20.1,20.3,2015-01-22
179415,1860,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.44,20.24,20.44,2015-01-23
192192,1856,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.52,20.31,20.52,2015-01-27
203039,1852,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.51,20.30,20.51,2015-01-28
213839,1813,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.59,20.38,20.59,2015-01-29
224628,1801,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.30,20.10,20.30,2015-01-30
236814,1801,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.36,20.16,20.36,2015-02-02
247629,1801,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.05,19.85,20.05,2015-02-03
258459,1805,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.88,19.68,19.88,2015-02-04
269305,1806,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.83,19.63,19.83,2015-02-05
280159,1806,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.69,19.49,19.69,2015-02-06
292431,1806,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.46,19.27,19.46,2015-02-09
303301,1806,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.58,19.38,19.58,2015-02-10
314158,1806,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.77,19.57,19.77,2015-02-11
325002,1805,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.05,19.85,20.05,2015-02-12
335866,1806,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.21,20.01,20.21,2015-02-13
348144,1804,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.13,19.93,20.13,2015-02-16
359903,1806,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.22,20.02,20.22,2015-02-18
369937,972,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.24,20.04,20.24,2015-02-19
373737,1795,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.16,19.96,20.16,2015-02-20
385999,1803,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.09,19.89,20.09,2015-02-23
396853,1800,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.06,19.86,20.06,2015-02-24
407688,1801,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.98,19.78,19.98,2015-02-25
418544,1803,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.82,19.62,19.82,2015-02-26
429404,1802,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.29,20.09,20.29,2015-02-27
441694,1803,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.77,20.56,20.77,2015-03-02
452555,1804,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.76,20.55,20.76,2015-03-03
463402,1803,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.52,20.31,20.52,2015-03-04
474245,1803,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.58,20.37,20.58,2015-03-05
487041,1807,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.19,19.99,20.19,2015-03-09
497881,1808,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.15,19.95,20.15,2015-03-10
508690,1808,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.21,20.01,20.21,2015-03-11
519519,1808,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.31,20.11,20.31,2015-03-12
530347,1807,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.02,19.82,20.02,2015-03-13
542605,1806,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.02,19.82,20.02,2015-03-16
553441,1808,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.24,20.04,20.24,2015-03-17
564258,1806,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,20.18,19.98,20.18,2015-03-18
575081,1808,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.97,19.77,19.97,2015-03-19
585907,1807,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.83,19.63,19.83,2015-03-20
598153,1798,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.73,19.53,19.73,2015-03-23
608994,1797,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.64,19.44,19.64,2015-03-24
619822,1797,111958,ICICI Prudential Focused Equity Fund - Dividend,INF109K01FM3,INF109K01CA5,19.70,19.50,19.70,2015-03-25
