,Unnamed: 0,Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
1866,1866,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,15.4539,15.4539,15.4539,2015-01-01
12632,1888,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,15.5827,15.5827,15.5827,2015-01-02
24883,1885,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,15.5760,15.5760,15.5760,2015-01-05
35714,1885,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,15.1770,15.1770,15.1770,2015-01-06
46549,1885,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,15.2479,15.2479,15.2479,2015-01-07
57392,1884,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,15.5091,15.5091,15.5091,2015-01-08
68233,1883,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,15.5704,15.5704,15.5704,2015-01-09
80496,1883,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,15.7183,15.7183,15.7183,2015-01-12
91327,1883,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,15.7245,15.7245,15.7245,2015-01-13
102153,1883,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,15.7812,15.7812,15.7812,2015-01-14
112986,1879,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.1165,16.1165,16.1165,2015-01-15
123822,1879,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.1834,16.1834,16.1834,2015-01-16
136080,1866,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.2449,16.2449,16.2449,2015-01-19
146905,1876,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.3541,16.3541,16.3541,2015-01-20
157740,1876,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.4639,16.4639,16.4639,2015-01-21
168581,1876,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.5365,16.5365,16.5365,2015-01-22
179431,1876,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.6308,16.6308,16.6308,2015-01-23
192208,1872,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.9064,16.9064,16.9064,2015-01-27
203055,1868,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.9216,16.9216,16.9216,2015-01-28
213855,1829,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.9599,16.9599,16.9599,2015-01-29
224644,1817,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.7753,16.7753,16.7753,2015-01-30
236830,1817,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.7800,16.7800,16.7800,2015-02-02
247645,1817,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.6386,16.6386,16.6386,2015-02-03
258475,1821,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.4502,16.4502,16.4502,2015-02-04
269321,1822,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.4637,16.4637,16.4637,2015-02-05
280175,1822,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.2540,16.2540,16.2540,2015-02-06
292447,1822,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,15.9594,15.9594,15.9594,2015-02-09
303317,1822,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,15.9902,15.9902,15.9902,2015-02-10
314174,1822,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.2608,16.2608,16.2608,2015-02-11
325018,1821,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.5087,16.5087,16.5087,2015-02-12
335882,1822,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.7150,16.7150,16.7150,2015-02-13
348160,1820,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.6670,16.6670,16.6670,2015-02-16
359919,1822,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.8681,16.8681,16.8681,2015-02-18
369953,988,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.9371,16.9371,16.9371,2015-02-19
373753,1811,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.8962,16.8962,16.8962,2015-02-20
386015,1819,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.7465,16.7465,16.7465,2015-02-23
396869,1816,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.7866,16.7866,16.7866,2015-02-24
407704,1817,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.7416,16.7416,16.7416,2015-02-25
418560,1819,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.5097,16.5097,16.5097,2015-02-26
429420,1818,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.8235,16.8235,16.8235,2015-02-27
441710,1819,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,17.2409,17.2409,17.2409,2015-03-02
452571,1820,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,17.3612,17.3612,17.3612,2015-03-03
463418,1819,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,17.3150,17.3150,17.3150,2015-03-04
474261,1819,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,17.3759,17.3759,17.3759,2015-03-05
487057,1823,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,17.0929,17.0929,17.0929,2015-03-09
497897,1824,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,17.0203,17.0203,17.0203,2015-03-10
508706,1824,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,17.0046,17.0046,17.0046,2015-03-11
519535,1824,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,17.0680,17.0680,17.0680,2015-03-12
530363,1823,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.8471,16.8471,16.8471,2015-03-13
542621,1822,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.8550,16.8550,16.8550,2015-03-16
553457,1824,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,17.0590,17.0590,17.0590,2015-03-17
564274,1822,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,17.0534,17.0534,17.0534,2015-03-18
575097,1824,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.9705,16.9705,16.9705,2015-03-19
585923,1823,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.8086,16.8086,16.8086,2015-03-20
598169,1814,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.6572,16.6572,16.6572,2015-03-23
609010,1813,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.6237,16.6237,16.6237,2015-03-24
619838,1813,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.5660,16.5660,16.5660,2015-03-25
630681,1815,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.2958,16.2958,16.2958,2015-03-26
641531,1814,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.3496,16.3496,16.3496,2015-03-27
653809,1815,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.5700,16.5700,16.5700,2015-03-30
664699,1815,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.6290,16.6290,16.6290,2015-03-31
674681,887,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.8166,16.8166,16.8166,2015-04-01
680673,1795,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,16.9724,16.9724,16.9724,2015-04-06
691523,1802,122389,Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,INF247L01189,,17.0015,17.0015,17.0015,2015-04-07
