,Unnamed: 0,Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
1867,1867,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,15.0708,15.0708,15.0708,2015-01-01
12633,1889,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,15.1958,15.1958,15.1958,2015-01-02
24884,1886,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,15.1875,15.1875,15.1875,2015-01-05
35715,1886,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,14.7978,14.7978,14.7978,2015-01-06
46550,1886,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,14.8663,14.8663,14.8663,2015-01-07
57393,1885,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,15.1204,15.1204,15.1204,2015-01-08
68234,1884,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,15.1795,15.1795,15.1795,2015-01-09
80497,1884,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,15.3219,15.3219,15.3219,2015-01-12
91328,1884,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,15.3273,15.3273,15.3273,2015-01-13
102154,1884,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,15.3820,15.3820,15.3820,2015-01-14
112987,1880,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,15.7082,15.7082,15.7082,2015-01-15
123823,1880,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,15.7728,15.7728,15.7728,2015-01-16
136081,1867,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,15.8307,15.8307,15.8307,2015-01-19
146906,1877,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,15.9366,15.9366,15.9366,2015-01-20
157741,1877,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,16.0430,16.0430,16.0430,2015-01-21
168582,1877,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,16.1130,16.1130,16.1130,2015-01-22
179432,1877,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,16.2042,16.2042,16.2042,2015-01-23
192209,1873,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,16.4702,16.4702,16.4702,2015-01-27
203056,1869,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,16.4843,16.4843,16.4843,2015-01-28
213856,1830,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,16.5209,16.5209,16.5209,2015-01-29
224645,1818,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,16.3405,16.3405,16.3405,2015-01-30
236831,1818,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,16.3430,16.3430,16.3430,2015-02-02
247646,1818,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,16.2047,16.2047,16.2047,2015-02-03
258476,1822,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,16.0206,16.0206,16.0206,2015-02-04
269322,1823,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,16.0331,16.0331,16.0331,2015-02-05
280176,1823,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,15.8282,15.8282,15.8282,2015-02-06
292448,1823,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,15.5394,15.5394,15.5394,2015-02-09
303318,1823,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,15.5688,15.5688,15.5688,2015-02-10
314175,1823,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,15.8317,15.8317,15.8317,2015-02-11
325019,1822,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,16.0723,16.0723,16.0723,2015-02-12
335883,1823,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,16.2725,16.2725,16.2725,2015-02-13
348161,1821,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,16.2239,16.2239,16.2239,2015-02-16
359920,1823,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,16.4183,16.4183,16.4183,2015-02-18
369954,989,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,16.4848,16.4848,16.4848,2015-02-19
373754,1812,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,16.4443,16.4443,16.4443,2015-02-20
386016,1820,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,16.2966,16.2966,16.2966,2015-02-23
396870,1817,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,16.3350,16.3350,16.3350,2015-02-24
407705,1818,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,16.2906,16.2906,16.2906,2015-02-25
418561,1820,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,16.0643,16.0643,16.0643,2015-02-26
429421,1819,122387,Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,INF247L01155,,16.3689,16.3689,16.3689,2015-02-27
