,Unnamed: 0,Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
1865,1865,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,13.9685,13.9685,13.9685,2015-01-01
12631,1887,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,14.0844,14.0844,14.0844,2015-01-02
24882,1884,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,14.0766,14.0766,14.0766,2015-01-05
35713,1884,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,13.7155,13.7155,13.7155,2015-01-06
46548,1884,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,13.7790,13.7790,13.7790,2015-01-07
57391,1883,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,14.0144,14.0144,14.0144,2015-01-08
68232,1882,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,14.0693,14.0693,14.0693,2015-01-09
80495,1882,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,14.2012,14.2012,14.2012,2015-01-12
91326,1882,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,14.2062,14.2062,14.2062,2015-01-13
102152,1882,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,14.2569,14.2569,14.2569,2015-01-14
112985,1878,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,14.5593,14.5593,14.5593,2015-01-15
123821,1878,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,14.6191,14.6191,14.6191,2015-01-16
136079,1865,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,14.6728,14.6728,14.6728,2015-01-19
146904,1875,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,14.7709,14.7709,14.7709,2015-01-20
157739,1875,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,14.8695,14.8695,14.8695,2015-01-21
168580,1875,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,14.9345,14.9345,14.9345,2015-01-22
179430,1875,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,15.0190,15.0190,15.0190,2015-01-23
192207,1871,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,15.2655,15.2655,15.2655,2015-01-27
203054,1867,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,15.2786,15.2786,15.2786,2015-01-28
213854,1828,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,15.3126,15.3126,15.3126,2015-01-29
224643,1816,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,15.1453,15.1453,15.1453,2015-01-30
236829,1816,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,15.1477,15.1477,15.1477,2015-02-02
247644,1816,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,15.0195,15.0195,15.0195,2015-02-03
258474,1820,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,14.8488,14.8488,14.8488,2015-02-04
269320,1821,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,14.8604,14.8604,14.8604,2015-02-05
280174,1821,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,14.6705,14.6705,14.6705,2015-02-06
292446,1821,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,14.4028,14.4028,14.4028,2015-02-09
303316,1821,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,14.4300,14.4300,14.4300,2015-02-10
314173,1821,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,14.6737,14.6737,14.6737,2015-02-11
325017,1820,122388,Motilal Oswal Focused 25 Fund (MOF25) - Regular Plan Dividend Option,INF247L01171,INF247L01163,14.8968,14.8968,14.8968,2015-02-12
