,Unnamed: 0,Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
1881,1881,119727,SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH,INF200K01RJ1,,91.1435,90.2321,91.1435,2015-01-01
12647,1903,119727,SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH,INF200K01RJ1,,91.8296,90.9113,91.8296,2015-01-02
24898,1900,119727,SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH,INF200K01RJ1,,91.7449,90.8275,91.7449,2015-01-05
35729,1900,119727,SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH,INF200K01RJ1,,89.7478,88.8503,89.7478,2015-01-06
46564,1900,119727,SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH,INF200K01RJ1,,89.3031,88.4101,89.3031,2015-01-07
57407,1899,119727,SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH,INF200K01RJ1,,91.0806,90.1698,91.0806,2015-01-08
68248,1898,119727,SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH,INF200K01RJ1,,91.2992,90.3862,91.2992,2015-01-09
80511,1898,119727,SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH,INF200K01RJ1,,91.5307,90.6154,91.5307,2015-01-12
91342,1898,119727,SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH,INF200K01RJ1,,91.5060,90.5909,91.5060,2015-01-13
102168,1898,119727,SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH,INF200K01RJ1,,91.9814,91.0616,91.9814,2015-01-14
113001,1894,119727,SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH,INF200K01RJ1,,93.0192,92.0890,93.0192,2015-01-15
123837,1894,119727,SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH,INF200K01RJ1,,93.2868,92.3539,93.2868,2015-01-16
136095,1881,119727,SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH,INF200K01RJ1,,93.5741,92.6384,93.5741,2015-01-19
146920,1891,119727,SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH,INF200K01RJ1,,93.9881,93.0482,93.9881,2015-01-20
157755,1891,119727,SBI FOCUSED EQUITY FUND - DIRECT PLAN -GROWTH,INF200K01RJ1,,94.0478,93.1073,94.0478,2015-01-21
