,Unnamed: 0,Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
1883,1883,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,89.7796,88.8818,89.7796,2015-01-01
12649,1905,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,90.4538,89.5493,90.4538,2015-01-02
24900,1902,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,90.3654,89.4617,90.3654,2015-01-05
35731,1902,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,88.3963,87.5123,88.3963,2015-01-06
46566,1902,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,87.9565,87.0769,87.9565,2015-01-07
57409,1901,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,89.7056,88.8085,89.7056,2015-01-08
68250,1900,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,89.9192,89.0200,89.9192,2015-01-09
80513,1900,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,90.1422,89.2408,90.1422,2015-01-12
91344,1900,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,90.1162,89.2150,90.1162,2015-01-13
102170,1900,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,90.5827,89.6769,90.5827,2015-01-14
113003,1896,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,91.6031,90.6871,91.6031,2015-01-15
123839,1896,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,91.8649,90.9463,91.8649,2015-01-16
136097,1883,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,92.1428,91.2214,92.1428,2015-01-19
146922,1893,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,92.5487,91.6232,92.5487,2015-01-20
157757,1893,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,92.6058,91.6797,92.6058,2015-01-21
168598,1893,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,92.6996,91.7726,92.6996,2015-01-22
179448,1893,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,92.5212,91.5960,92.5212,2015-01-23
192225,1889,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,93.4859,92.5510,93.4859,2015-01-27
203072,1885,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,93.4792,92.5444,93.4792,2015-01-28
213872,1846,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,94.1630,93.2214,94.1630,2015-01-29
224661,1834,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,93.4043,92.4703,93.4043,2015-01-30
236847,1834,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,93.2286,92.2963,93.2286,2015-02-02
247662,1834,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,92.9683,92.0386,92.9683,2015-02-03
258492,1838,102756,SBI FOCUSED EQUITY FUND - REGULAR PLAN -GROWTH,INF200K01370,,91.8633,90.9447,91.8633,2015-02-04
