,Unnamed: 0,Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
1886,1886,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.4759,13.4759,13.4759,2015-01-01
12652,1908,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.6789,13.6789,13.6789,2015-01-02
24903,1905,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.6462,13.6462,13.6462,2015-01-05
35734,1905,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.2318,13.2318,13.2318,2015-01-06
46569,1905,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.1948,13.1948,13.1948,2015-01-07
57412,1904,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.4368,13.4368,13.4368,2015-01-08
68253,1903,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.5361,13.5361,13.5361,2015-01-09
80516,1903,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.6412,13.6412,13.6412,2015-01-12
91347,1903,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.5897,13.5897,13.5897,2015-01-13
102173,1903,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.5655,13.5655,13.5655,2015-01-14
113006,1899,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.8978,13.8978,13.8978,2015-01-15
123842,1899,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.9255,13.9255,13.9255,2015-01-16
136100,1886,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.9937,13.9937,13.9937,2015-01-19
146925,1896,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.1833,14.1833,14.1833,2015-01-20
157760,1896,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.2315,14.2315,14.2315,2015-01-21
168601,1896,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.3053,14.3053,14.3053,2015-01-22
179451,1896,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.4128,14.4128,14.4128,2015-01-23
192228,1892,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.5520,14.5520,14.5520,2015-01-27
203075,1888,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.5356,14.5356,14.5356,2015-01-28
213875,1849,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.6120,14.6120,14.6120,2015-01-29
224664,1837,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.3799,14.3799,14.3799,2015-01-30
236850,1837,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.3842,14.3842,14.3842,2015-02-02
247665,1837,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.3029,14.3029,14.3029,2015-02-03
258495,1841,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.2009,14.2009,14.2009,2015-02-04
269341,1842,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.1739,14.1739,14.1739,2015-02-05
280195,1842,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.0579,14.0579,14.0579,2015-02-06
292467,1842,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.8201,13.8201,13.8201,2015-02-09
303337,1842,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.9128,13.9128,13.9128,2015-02-10
314194,1842,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.0617,14.0617,14.0617,2015-02-11
325038,1841,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.2169,14.2169,14.2169,2015-02-12
335902,1842,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.3573,14.3573,14.3573,2015-02-13
348180,1840,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.2883,14.2883,14.2883,2015-02-16
359939,1842,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.3737,14.3737,14.3737,2015-02-18
369973,1008,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.3988,14.3988,14.3988,2015-02-19
373773,1831,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.3365,14.3365,14.3365,2015-02-20
386035,1839,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.2160,14.2160,14.2160,2015-02-23
396889,1836,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.2179,14.2179,14.2179,2015-02-24
407724,1837,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.2067,14.2067,14.2067,2015-02-25
418580,1839,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.0410,14.0410,14.0410,2015-02-26
429440,1838,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.3296,14.3296,14.3296,2015-02-27
441730,1839,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.6270,14.6270,14.6270,2015-03-02
452591,1840,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.6821,14.6821,14.6821,2015-03-03
463438,1839,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.5586,14.5586,14.5586,2015-03-04
474281,1839,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.5876,14.5876,14.5876,2015-03-05
487077,1843,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.2452,14.2452,14.2452,2015-03-09
497917,1844,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.1885,14.1885,14.1885,2015-03-10
508726,1844,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.1599,14.1599,14.1599,2015-03-11
519555,1844,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.2830,14.2830,14.2830,2015-03-12
530383,1843,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.0407,14.0407,14.0407,2015-03-13
542641,1842,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.0427,14.0427,14.0427,2015-03-16
553477,1844,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.2112,14.2112,14.2112,2015-03-17
564294,1842,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.1535,14.1535,14.1535,2015-03-18
575117,1844,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.0332,14.0332,14.0332,2015-03-19
585943,1843,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.9025,13.9025,13.9025,2015-03-20
598189,1834,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.8216,13.8216,13.8216,2015-03-23
609030,1833,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.7605,13.7605,13.7605,2015-03-24
619858,1833,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.7358,13.7358,13.7358,2015-03-25
630701,1835,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.4685,13.4685,13.4685,2015-03-26
641551,1834,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.5341,13.5341,13.5341,2015-03-27
653829,1835,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.7643,13.7643,13.7643,2015-03-30
664719,1835,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.7338,13.7338,13.7338,2015-03-31
674697,903,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.9147,13.9147,13.9147,2015-04-01
680693,1815,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.0353,14.0353,14.0353,2015-04-06
691543,1822,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.0353,14.0353,14.0353,2015-04-07
702324,1828,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.1305,14.1305,14.1305,2015-04-08
713099,1828,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.2203,14.2203,14.2203,2015-04-09
723877,1833,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.2191,14.2191,14.2191,2015-04-10
736081,1833,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.2909,14.2909,14.2909,2015-04-13
747770,1831,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.1673,14.1673,14.1673,2015-04-15
758518,1832,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,14.0905,14.0905,14.0905,2015-04-16
769263,1834,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.8917,13.8917,13.8917,2015-04-17
781442,1834,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.6549,13.6549,13.6549,2015-04-20
792169,1834,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.5595,13.5595,13.5595,2015-04-21
802873,1833,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.6436,13.6436,13.6436,2015-04-22
813593,1833,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.5789,13.5789,13.5789,2015-04-23
824318,1833,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.4203,13.4203,13.4203,2015-04-24
836485,1833,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.2636,13.2636,13.2636,2015-04-27
847201,1832,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.4207,13.4207,13.4207,2015-04-28
857914,1832,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.3854,13.3854,13.3854,2015-04-29
868622,1832,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.3218,13.3218,13.3218,2015-04-30
880131,1025,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.4552,13.4552,13.4552,2015-05-04
884127,1832,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.4606,13.4606,13.4606,2015-05-05
894815,1834,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.1299,13.1299,13.1299,2015-05-06
905493,1833,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.0092,13.0092,13.0092,2015-05-07
916175,1833,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.2407,13.2407,13.2407,2015-05-08
928317,1833,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.4332,13.4332,13.4332,2015-05-11
939008,1833,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.1679,13.1679,13.1679,2015-05-12
949694,1834,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.3444,13.3444,13.3444,2015-05-13
960363,1825,101536,Sundaram Select Focus-Dividend,INF903J01124,INF903J01132,13.3526,13.3526,13.3526,2015-05-14
