,Unnamed: 0,Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
1884,1884,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,13.6003,13.6003,13.6003,2015-01-01
12650,1906,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,13.8054,13.8054,13.8054,2015-01-02
24901,1903,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,13.7730,13.7730,13.7730,2015-01-05
35732,1903,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,13.3550,13.3550,13.3550,2015-01-06
46567,1903,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,13.3178,13.3178,13.3178,2015-01-07
57410,1902,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,13.5623,13.5623,13.5623,2015-01-08
68251,1901,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,13.6628,13.6628,13.6628,2015-01-09
80514,1901,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,13.7695,13.7695,13.7695,2015-01-12
91345,1901,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,13.7177,13.7177,13.7177,2015-01-13
102171,1901,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,13.6934,13.6934,13.6934,2015-01-14
113004,1897,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.0291,14.0291,14.0291,2015-01-15
123840,1897,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.0572,14.0572,14.0572,2015-01-16
136098,1884,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.1267,14.1267,14.1267,2015-01-19
146923,1894,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.3184,14.3184,14.3184,2015-01-20
157758,1894,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.3672,14.3672,14.3672,2015-01-21
168599,1894,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.4419,14.4419,14.4419,2015-01-22
179449,1894,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.5507,14.5507,14.5507,2015-01-23
192226,1890,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.6921,14.6921,14.6921,2015-01-27
203073,1886,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.6757,14.6757,14.6757,2015-01-28
213873,1847,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.7531,14.7531,14.7531,2015-01-29
224662,1835,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.5189,14.5189,14.5189,2015-01-30
236848,1835,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.5239,14.5239,14.5239,2015-02-02
247663,1835,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.4421,14.4421,14.4421,2015-02-03
258493,1839,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.3393,14.3393,14.3393,2015-02-04
269339,1840,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.3122,14.3122,14.3122,2015-02-05
280193,1840,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.1953,14.1953,14.1953,2015-02-06
292465,1840,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,13.9558,13.9558,13.9558,2015-02-09
303335,1840,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.0496,14.0496,14.0496,2015-02-10
314192,1840,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.2003,14.2003,14.2003,2015-02-11
325036,1839,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.3571,14.3571,14.3571,2015-02-12
335900,1840,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.4991,14.4991,14.4991,2015-02-13
348178,1838,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.4302,14.4302,14.4302,2015-02-16
359937,1840,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.5168,14.5168,14.5168,2015-02-18
369971,1006,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.5424,14.5424,14.5424,2015-02-19
373771,1829,119577,Sundaram Select Focus - Direct Plan - Dividend Option,INF903J01MT2,INF903J01MU0,14.4797,14.4797,14.4797,2015-02-20
