,Unnamed: 0,Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
1885,1885,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,125.8161,125.8161,125.8161,2015-01-01
12651,1907,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,127.7580,127.7580,127.7580,2015-01-02
24902,1904,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,127.4584,127.4584,127.4584,2015-01-05
35733,1904,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,123.5901,123.5901,123.5901,2015-01-06
46568,1904,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,123.2459,123.2459,123.2459,2015-01-07
57411,1903,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,125.5085,125.5085,125.5085,2015-01-08
68252,1902,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,126.4381,126.4381,126.4381,2015-01-09
80515,1902,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,127.4254,127.4254,127.4254,2015-01-12
91346,1902,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,126.9462,126.9462,126.9462,2015-01-13
102172,1902,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,126.7213,126.7213,126.7213,2015-01-14
113005,1898,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,129.8278,129.8278,129.8278,2015-01-15
123841,1898,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,130.0885,130.0885,130.0885,2015-01-16
136099,1885,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,130.7320,130.7320,130.7320,2015-01-19
146924,1895,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,132.5055,132.5055,132.5055,2015-01-20
157759,1895,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,132.9575,132.9575,132.9575,2015-01-21
168600,1895,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,133.6490,133.6490,133.6490,2015-01-22
179450,1895,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,134.6555,134.6555,134.6555,2015-01-23
192227,1891,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,135.9640,135.9640,135.9640,2015-01-27
203074,1887,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,135.8126,135.8126,135.8126,2015-01-28
213874,1848,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,136.5284,136.5284,136.5284,2015-01-29
224663,1836,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,134.3617,134.3617,134.3617,2015-01-30
236849,1836,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,134.4076,134.4076,134.4076,2015-02-02
247664,1836,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,133.6504,133.6504,133.6504,2015-02-03
258494,1840,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,132.6996,132.6996,132.6996,2015-02-04
269340,1841,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,132.4488,132.4488,132.4488,2015-02-05
280194,1841,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,131.3671,131.3671,131.3671,2015-02-06
292466,1841,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,129.1501,129.1501,129.1501,2015-02-09
303336,1841,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,130.0184,130.0184,130.0184,2015-02-10
314193,1841,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,131.4127,131.4127,131.4127,2015-02-11
325037,1840,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,132.8643,132.8643,132.8643,2015-02-12
335901,1841,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,134.1787,134.1787,134.1787,2015-02-13
348179,1839,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,133.5403,133.5403,133.5403,2015-02-16
359938,1841,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,134.3419,134.3419,134.3419,2015-02-18
369972,1007,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,134.5789,134.5789,134.5789,2015-02-19
373772,1830,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,133.9988,133.9988,133.9988,2015-02-20
386034,1838,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,132.8780,132.8780,132.8780,2015-02-23
396888,1835,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,132.8977,132.8977,132.8977,2015-02-24
407723,1836,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,132.7955,132.7955,132.7955,2015-02-25
418579,1838,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,131.2478,131.2478,131.2478,2015-02-26
429439,1837,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,133.9478,133.9478,133.9478,2015-02-27
441729,1838,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,136.7338,136.7338,136.7338,2015-03-02
452590,1839,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,137.2509,137.2509,137.2509,2015-03-03
463437,1838,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,136.0987,136.0987,136.0987,2015-03-04
474280,1838,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,136.3712,136.3712,136.3712,2015-03-05
487076,1842,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,133.1788,133.1788,133.1788,2015-03-09
497916,1843,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,132.6500,132.6500,132.6500,2015-03-10
508725,1843,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,132.3849,132.3849,132.3849,2015-03-11
519554,1843,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,133.5378,133.5378,133.5378,2015-03-12
530382,1842,119578,Sundaram Select Focus - Direct Plan - Growth Option,INF903J01MV8,,131.2745,131.2745,131.2745,2015-03-13
